Date,Stock Splits,ticker
2022-09-13,0.906823,AKRN
2023-05-15,0.971245,BSPB
2021-10-06,0.970989,GMKN
2021-10-13,0.970989,GMKN
2022-10-03,0.994851,GMKN
2024-04-08,100.0,GMKN
2015-01-19,0.01,IRAO
2012-02-24,10.0,PHOR
2025-03-27,10.0,PLZL
2022-06-03,0.974922,RASP
2022-02-17,0.95,SVAV
2023-07-14,0.967114,SVAV
2024-02-21,100.0,TRNFP
2024-07-15,0.0002,VTBR
